,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
207,Chef,2014,18,78,1,0,0,0,Netflix
208,Fire in the Blood,2013,0,78,1,0,0,0,Netflix
209,Austin Powers: International Man of Mystery,1997,13,78,1,0,0,0,Netflix
210,Miles Davis: Birth of the Cool,2019,0,78,1,0,0,0,Netflix
211,Insidious,2010,13,78,1,0,0,0,Netflix
212,Screwball,2019,0,78,1,0,0,0,Netflix
213,The Old Guard,2020,18,78,1,0,0,0,Netflix
214,Rango,2011,7,78,1,0,0,0,Netflix
215,Before I Wake,2016,13,78,1,0,0,0,Netflix
216,The Disaster Artist,2017,18,78,1,0,0,0,Netflix
217,Fruitvale Station,2013,18,77,1,0,0,0,Netflix
218,The Florida Project,2017,18,77,1,0,0,0,Netflix
219,Behind the Curve,2018,16,77,1,0,0,0,Netflix
220,Lawless,2012,18,77,1,0,0,0,Netflix
221,Errementari: The Blacksmith and the Devil,2018,18,77,1,0,0,0,Netflix
222,Audrie & Daisy,2016,0,77,1,0,0,0,Netflix
223,Quantum of Solace,2008,13,77,1,0,0,0,Netflix
224,The Master,2012,18,77,1,0,0,0,Netflix
225,Layer Cake,2004,18,77,1,0,0,0,Netflix
226,Flipped,2010,7,77,1,0,0,0,Netflix
227,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16,77,1,0,0,0,Netflix
228,Friends with Benefits,2011,18,77,1,1,0,0,Netflix
229,Tig,2015,0,77,1,0,0,0,Netflix
230,Roll Red Roll,2019,0,77,1,0,0,0,Netflix
231,Enola Holmes,2020,13,77,1,0,0,0,Netflix
232,PK,2015,13,77,1,0,0,0,Netflix
233,Good Time,2017,18,77,1,0,0,0,Netflix
234,The Next Three Days,2010,13,77,1,0,0,0,Netflix
235,Miracle in Cell No. 7,2019,16,77,1,0,0,0,Netflix
236,Like Stars on Earth,2007,7,77,1,0,0,0,Netflix
237,Trixie Mattel: Moving Parts,2019,0,77,1,0,0,0,Netflix
238,Talaash,2012,0,77,1,0,0,0,Netflix
239,Evelyn,2019,0,77,1,0,0,0,Netflix
240,I Am Sam,2001,13,77,1,0,0,0,Netflix
241,In the Shadow of the Moon,2019,18,77,1,0,0,0,Netflix
242,Neon Genesis Evangelion: The End of Evangelion,1997,18,77,1,0,0,0,Netflix
243,Memoirs of a Geisha,2005,13,76,1,0,0,0,Netflix
244,Mad Max,1979,18,76,1,0,0,0,Netflix
